OrderID,CustomerID,TransactionDate,ProductID,ProductName,ProductCategory,AmountSpent,DiscountApplied,FinalAmount,PaymentMethod,Location,CustomerSignupDate,CustomerAge,Gender,IncomeGroup
O125990,1227,2024-02-09,P342,Product-P342,Grocery,58.97,17.27,41.7,Debit Card,Hyderabad,2023-04-28,51,Other,Medium
O379766,1247,2024-02-15,P854,Product-P854,Clothing,5.5,1.29,4.21,UPI,Delhi,2023-03-09,58,Male,Low
O333238,1031,2024-02-10,P906,Product-P906,Electronics,24.2,2.78,21.42,Credit Card,Hyderabad,2023-05-23,59,Other,Medium
O124813,1218,2024-02-21,P936,Product-P936,Home,226.1,23.72,202.38,Debit Card,Delhi,2023-08-20,49,Male,Medium
O468203,1295,2024-02-19,P508,Product-P508,Clothing,322.42,26.95,295.47,Credit Card,Bangalore,2023-09-06,19,Other,High
O373903,1218,2024-05-10,P509,Product-P509,Beauty,93.14,9.25,83.89,Credit Card,Mumbai,2023-08-20,49,Male,Medium
O462479,1179,2024-02-15,P694,Product-P694,Clothing,65.64,0.75,64.89,Cash,Hyderabad,2023-09-29,50,Female,Low
O704596,1126,2024-03-21,P546,Product-P546,Beauty,148.17,43.75,104.42,Credit Card,Hyderabad,2023-10-26,39,Other,Medium
O945687,1240,2024-02-18,P360,Product-P360,Electronics,10.7,2.28,8.42,Credit Card,Chennai,2023-09-21,36,Male,High
O429164,1161,2024-02-20,P472,Product-P472,Home,391.45,8.22,383.23,Net Banking,Chennai,2023-03-22,49,Other,Medium
O521947,1153,2024-02-01,P837,Product-P837,Clothing,67.01,10.19,56.82,UPI,Bangalore,2023-12-16,40,Female,High
O745414,1263,2024-03-16,P667,Product-P667,Grocery,280.17,16.12,264.05,UPI,Delhi,2023-01-28,33,Male,High
O320392,1015,2024-03-18,P515,Product-P515,Beauty,222.47,55.64,166.83,Net Banking,Bangalore,2023-01-16,41,Female,Low
O563246,1135,2024-04-20,P904,Product-P904,Beauty,143.73,26.16,117.57,Net Banking,Hyderabad,2023-02-26,18,Other,Low
O397571,1046,2024-04-23,P791,Product-P791,Grocery,138.48,21.24,117.24,Debit Card,Mumbai,2023-06-26,31,Other,High
O335552,1027,2024-05-11,P779,Product-P779,Beauty,167.08,16.8,150.28,Debit Card,Bangalore,2023-08-03,39,Male,Medium
O991014,1186,2024-02-20,P250,Product-P250,Electronics,213.51,2.96,210.55,UPI,Chennai,2023-07-05,23,Male,Medium
O853240,1103,2024-01-19,P566,Product-P566,Home,86.54,23.01,63.53,Cash,Delhi,2023-01-17,28,Male,High
O916232,1099,2024-04-08,P606,Product-P606,Home,297.13,21.75,275.38,Credit Card,Mumbai,2023-12-17,18,Other,Medium
O152657,1091,2024-04-18,P324,Product-P324,Grocery,131.16,31.64,99.52,Cash,Hyderabad,2023-03-25,46,Male,High
O686075,1293,2024-03-04,P968,Product-P968,Electronics,142.02,19.45,122.57,UPI,Chennai,2023-03-27,63,Other,Medium
O970914,1287,2024-03-22,P873,Product-P873,Home,64.47,11.85,52.62,Cash,Hyderabad,2023-01-26,52,Other,Low
O903013,1291,2024-04-24,P262,Product-P262,Home,164.0,22.14,141.86,Debit Card,Bangalore,2023-02-17,46,Male,Medium
O345884,1284,2024-05-13,P596,Product-P596,Grocery,51.5,4.24,47.26,Credit Card,Bangalore,2023-08-15,55,Male,High
O258157,1010,2024-03-10,P443,Product-P443,Clothing,0.72,0.19,0.53,Credit Card,Delhi,2023-10-07,28,Female,Medium
O527398,1200,2024-02-29,P492,Product-P492,Grocery,81.83,17.34,64.49,Credit Card,Hyderabad,2023-09-01,29,Female,Low
O508396,1106,2024-03-25,P655,Product-P655,Home,317.23,39.57,277.66,Debit Card,Hyderabad,2023-05-18,52,Female,Low
O413118,1086,2024-01-06,P977,Product-P977,Beauty,511.96,58.42,453.54,Credit Card,Bangalore,2023-11-08,41,Male,High
O331251,1035,2024-04-09,P973,Product-P973,Home,272.84,44.05,228.79,Cash,Chennai,2023-08-05,64,Male,Low
O452457,1057,2024-05-04,P324,Product-P324,Clothing,58.57,7.66,50.91,Credit Card,Hyderabad,2023-11-18,52,Female,High
O660069,1033,2024-04-13,P841,Product-P841,Grocery,432.01,108.93,323.08,Debit Card,Chennai,2023-03-23,33,Male,Low
O773971,1120,2024-01-07,P503,Product-P503,Beauty,196.94,33.35,163.59,Credit Card,Mumbai,2023-05-07,40,Male,Medium
O443254,1218,2024-04-19,P238,Product-P238,Home,32.29,1.76,30.53,Net Banking,Hyderabad,2023-08-20,49,Male,Medium
O888539,1108,2024-02-24,P565,Product-P565,Clothing,69.01,6.99,62.02,UPI,Bangalore,2023-04-19,50,Female,High
O466960,1281,2024-04-17,P358,Product-P358,Electronics,290.06,40.93,249.13,Cash,Mumbai,2023-08-25,28,Male,Medium
O359295,1283,2024-02-27,P765,Product-P765,Electronics,37.86,8.87,28.99,Credit Card,Mumbai,2023-02-08,53,Other,Low
O596564,1016,2024-02-21,P959,Product-P959,Electronics,66.43,12.38,54.05,Debit Card,Delhi,2023-02-17,20,Female,High
O275939,1216,2024-01-30,P677,Product-P677,Grocery,577.67,80.59,497.08,Net Banking,Bangalore,2023-08-13,61,Other,Low
O126925,1167,2024-01-30,P896,Product-P896,Grocery,412.14,119.28,292.86,Credit Card,Chennai,2023-09-17,62,Other,Low
O720859,1086,2024-03-20,P689,Product-P689,Home,110.08,13.1,96.98,Debit Card,Mumbai,2023-11-08,41,Male,High
O934904,1077,2024-03-03,P204,Product-P204,Clothing,1013.1,258.43,754.67,Cash,Mumbai,2023-07-09,25,Female,High
O630538,1220,2024-01-11,P455,Product-P455,Beauty,116.88,15.02,101.86,Net Banking,Mumbai,2023-05-07,49,Other,Medium
O479781,1183,2024-03-28,P112,Product-P112,Home,207.19,51.11,156.08,Credit Card,Hyderabad,2023-09-08,58,Female,Low
O745830,1033,2024-04-27,P824,Product-P824,Grocery,31.46,4.11,27.35,Cash,Bangalore,2023-03-23,33,Male,Low
O437960,1167,2024-05-03,P576,Product-P576,Home,98.92,24.5,74.42,Cash,Bangalore,2023-09-17,62,Other,Low
O886931,1192,2024-03-03,P950,Product-P950,Electronics,186.8,15.63,171.17,UPI,Delhi,2023-02-10,59,Female,Low
O618317,1251,2024-04-28,P683,Product-P683,Beauty,168.75,33.83,134.92,Net Banking,Mumbai,2023-05-05,35,Male,Low
O393243,1237,2024-03-24,P286,Product-P286,Home,185.07,11.78,173.29,Net Banking,Bangalore,2023-01-17,20,Female,Medium
O353080,1221,2024-03-11,P669,Product-P669,Electronics,27.95,4.33,23.62,Debit Card,Mumbai,2023-04-26,21,Male,Low
O569945,1050,2024-04-14,P600,Product-P600,Beauty,111.78,25.42,86.36,UPI,Hyderabad,2023-08-24,37,Male,High
O796212,1184,2024-01-05,P195,Product-P195,Clothing,592.25,39.37,552.88,Debit Card,Bangalore,2023-01-10,20,Male,Medium
O446859,1095,2024-04-04,P584,Product-P584,Beauty,129.34,20.6,108.74,UPI,Chennai,2023-11-24,42,Other,Medium
O226516,1130,2024-03-31,P819,Product-P819,Home,5.1,0.41,4.69,Net Banking,Delhi,2023-03-12,52,Female,High
O326895,1155,2024-02-19,P423,Product-P423,Electronics,140.62,31.34,109.28,Debit Card,Delhi,2023-05-17,62,Female,Low
O396745,1058,2024-05-03,P383,Product-P383,Beauty,244.74,71.7,173.04,Cash,Chennai,2023-11-13,31,Other,Medium
O416950,1221,2024-01-26,P952,Product-P952,Grocery,95.98,8.53,87.45,Net Banking,Delhi,2023-04-26,21,Male,Low
O680238,1191,2024-01-04,P825,Product-P825,Beauty,87.62,3.33,84.29,Credit Card,Mumbai,2023-10-18,50,Female,Medium
O112861,1070,2024-03-15,P814,Product-P814,Grocery,13.54,2.59,10.95,UPI,Mumbai,2023-02-21,61,Female,Medium
O364742,1278,2024-03-13,P580,Product-P580,Home,142.78,18.87,123.91,Debit Card,Mumbai,2023-08-05,41,Other,Medium
O760021,1184,2024-05-02,P216,Product-P216,Electronics,568.53,68.34,500.19,Credit Card,Chennai,2023-01-10,20,Male,Medium
O360247,1227,2024-01-14,P255,Product-P255,Grocery,132.38,32.21,100.17,Net Banking,Mumbai,2023-04-28,51,Other,Medium
O913373,1271,2024-01-31,P671,Product-P671,Home,93.01,16.92,76.09,Cash,Delhi,2023-02-25,26,Female,Medium
O549660,1065,2024-05-13,P489,Product-P489,Home,114.48,31.2,83.28,Net Banking,Chennai,2023-12-05,59,Female,Low
O755900,1050,2024-03-19,P682,Product-P682,Beauty,283.22,5.12,278.1,Credit Card,Delhi,2023-08-24,37,Male,High
O178711,1208,2024-02-24,P370,Product-P370,Electronics,231.14,10.89,220.25,Debit Card,Chennai,2023-10-04,45,Female,Low
O405407,1245,2024-02-10,P102,Product-P102,Home,42.18,5.7,36.48,Cash,Hyderabad,2023-04-20,49,Male,Low
O820775,1162,2024-01-09,P337,Product-P337,Clothing,3.64,0.77,2.87,UPI,Mumbai,2023-08-21,24,Other,Medium
O220351,1286,2024-02-29,P370,Product-P370,Beauty,40.66,8.07,32.59,Debit Card,Hyderabad,2023-02-20,37,Female,High
O162535,1239,2024-02-27,P763,Product-P763,Grocery,226.97,61.85,165.12,Debit Card,Mumbai,2023-02-06,53,Other,Medium
O560485,1194,2024-02-12,P911,Product-P911,Clothing,290.32,51.83,238.49,Cash,Bangalore,2023-09-06,41,Male,High
O666211,1293,2024-02-01,P579,Product-P579,Clothing,51.46,10.8,40.66,Net Banking,Chennai,2023-03-27,63,Other,Medium
O733039,1179,2024-05-06,P548,Product-P548,Electronics,237.76,42.66,195.1,UPI,Bangalore,2023-09-29,50,Female,Low
O121753,1016,2024-03-05,P126,Product-P126,Electronics,156.08,10.72,145.36,Cash,Chennai,2023-02-17,20,Female,High
O644173,1081,2024-03-09,P690,Product-P690,Electronics,80.8,18.5,62.3,Debit Card,Hyderabad,2023-05-17,38,Other,Medium
O195674,1210,2024-04-23,P384,Product-P384,Grocery,370.95,110.95,260.0,UPI,Hyderabad,2023-04-13,54,Male,High
O445824,1133,2024-04-30,P456,Product-P456,Home,32.34,3.23,29.11,Credit Card,Delhi,2023-02-16,31,Other,High
O138479,1258,2024-04-15,P810,Product-P810,Home,28.6,2.47,26.13,UPI,Chennai,2023-08-09,48,Female,High
O639593,1265,2024-04-26,P190,Product-P190,Clothing,177.21,13.42,163.79,Credit Card,Hyderabad,2023-12-01,19,Other,Medium
O643623,1281,2024-01-01,P773,Product-P773,Beauty,234.2,32.46,201.74,Credit Card,Delhi,2023-08-25,28,Male,Medium
O380028,1014,2024-04-02,P737,Product-P737,Home,36.76,6.9,29.86,Credit Card,Delhi,2023-01-17,57,Female,Medium
O130271,1040,2024-02-03,P394,Product-P394,Home,442.17,116.85,325.32,UPI,Mumbai,2023-06-22,38,Male,Medium
O527809,1268,2024-03-02,P826,Product-P826,Grocery,91.3,8.51,82.79,Credit Card,Chennai,2023-02-01,22,Male,Low
O622584,1126,2024-01-24,P330,Product-P330,Electronics,7.56,1.05,6.51,Credit Card,Delhi,2023-10-26,39,Other,Medium
O355570,1110,2024-03-15,P621,Product-P621,Clothing,200.31,24.97,175.34,UPI,Hyderabad,2023-06-11,59,Female,High
O882544,1125,2024-04-26,P664,Product-P664,Grocery,316.37,36.41,279.96,Cash,Chennai,2023-08-08,57,Female,Low
O925981,1268,2024-02-04,P984,Product-P984,Electronics,128.18,10.62,117.56,UPI,Bangalore,2023-02-01,22,Male,Low
O708093,1192,2024-05-09,P373,Product-P373,Electronics,614.83,52.17,562.66,Net Banking,Chennai,2023-02-10,59,Female,Low
O448588,1259,2024-05-05,P986,Product-P986,Grocery,160.76,21.54,139.22,UPI,Bangalore,2023-07-01,47,Male,High
O501574,1268,2024-04-06,P566,Product-P566,Clothing,97.7,25.49,72.21,Debit Card,Chennai,2023-02-01,22,Male,Low
O504832,1283,2024-02-29,P976,Product-P976,Home,151.28,1.98,149.3,UPI,Hyderabad,2023-02-08,53,Other,Low
O205239,1236,2024-02-08,P607,Product-P607,Electronics,24.46,0.93,23.53,Cash,Bangalore,2023-02-04,46,Female,Medium
O529893,1207,2024-04-22,P202,Product-P202,Beauty,63.74,17.41,46.33,Credit Card,Delhi,2023-04-19,19,Other,Low
O753534,1062,2024-02-09,P176,Product-P176,Home,58.14,13.63,44.51,Net Banking,Bangalore,2023-12-27,21,Female,Medium
O432043,1209,2024-04-11,P765,Product-P765,Electronics,42.0,10.73,31.27,Cash,Hyderabad,2023-12-20,40,Other,Medium
O761820,1144,2024-05-04,P993,Product-P993,Beauty,200.23,2.16,198.07,Credit Card,Delhi,2023-07-15,43,Other,Medium
O565230,1098,2024-03-14,P332,Product-P332,Electronics,86.28,11.23,75.05,Credit Card,Mumbai,2023-04-23,41,Female,Low
O934816,1279,2024-02-12,P810,Product-P810,Clothing,20.15,5.46,14.69,Credit Card,Bangalore,2023-04-04,50,Other,Medium
O656968,1137,2024-01-15,P400,Product-P400,Clothing,54.51,6.13,48.38,Debit Card,Delhi,2023-11-18,43,Female,Medium
O501126,1300,2024-04-15,P679,Product-P679,Grocery,37.33,1.9,35.43,Credit Card,Chennai,2023-03-26,50,Other,Low
O581894,1272,2024-03-02,P609,Product-P609,Beauty,27.64,1.19,26.45,UPI,Bangalore,2023-05-08,58,Male,Low
O810526,1233,2024-03-06,P782,Product-P782,Electronics,84.24,22.72,61.52,UPI,Bangalore,2023-11-20,26,Male,Medium
O769975,1075,2024-02-10,P175,Product-P175,Home,184.4,52.29,132.11,Cash,Bangalore,2023-07-06,48,Male,Medium
O503380,1244,2024-04-18,P806,Product-P806,Clothing,23.54,3.23,20.31,Net Banking,Delhi,2023-09-06,37,Female,Low
O410244,1128,2024-05-03,P209,Product-P209,Grocery,226.12,25.87,200.25,Net Banking,Chennai,2023-07-05,52,Other,Medium
O735863,1032,2024-03-16,P122,Product-P122,Home,19.1,1.57,17.53,Cash,Mumbai,2023-01-04,45,Male,High
O940886,1182,2024-05-07,P952,Product-P952,Clothing,4.88,1.14,3.74,Debit Card,Chennai,2023-06-15,30,Female,Low
O757937,1021,2024-03-31,P324,Product-P324,Grocery,43.07,8.02,35.05,Debit Card,Mumbai,2023-01-14,47,Other,Medium
O194511,1069,2024-01-11,P416,Product-P416,Home,193.59,1.94,191.65,Net Banking,Delhi,2023-04-30,43,Other,Medium
O483629,1086,2024-03-16,P434,Product-P434,Home,189.13,9.97,179.16,Debit Card,Chennai,2023-11-08,41,Male,High
O945664,1295,2024-05-15,P613,Product-P613,Clothing,261.05,65.04,196.01,Net Banking,Hyderabad,2023-09-06,19,Other,High
O247594,1255,2024-03-16,P864,Product-P864,Clothing,108.81,26.25,82.56,UPI,Mumbai,2023-02-18,45,Other,Low
O194689,1236,2024-02-27,P980,Product-P980,Home,73.05,21.2,51.85,Cash,Bangalore,2023-02-04,46,Female,Medium
O805511,1183,2024-04-11,P114,Product-P114,Clothing,211.97,34.12,177.85,UPI,Bangalore,2023-09-08,58,Female,Low
O807617,1276,2024-03-08,P698,Product-P698,Home,30.44,7.51,22.93,Net Banking,Mumbai,2023-08-18,20,Female,Medium
O739717,1219,2024-02-29,P582,Product-P582,Electronics,648.1,120.46,527.64,Cash,Bangalore,2023-03-03,23,Female,Low
O780776,1114,2024-02-26,P763,Product-P763,Electronics,5.24,1.0,4.24,UPI,Bangalore,2023-07-22,24,Female,High
O616554,1134,2024-04-14,P219,Product-P219,Grocery,56.26,0.77,55.49,Credit Card,Bangalore,2023-01-25,20,Male,Medium
O575679,1236,2024-01-30,P199,Product-P199,Grocery,797.22,212.2,585.02,Debit Card,Hyderabad,2023-02-04,46,Female,Medium
O786735,1079,2024-04-04,P786,Product-P786,Beauty,730.46,91.85,638.61,Debit Card,Hyderabad,2023-04-18,40,Male,Medium
O823811,1236,2024-01-26,P953,Product-P953,Home,448.83,82.9,365.93,Net Banking,Mumbai,2023-02-04,46,Female,Medium
O204180,1049,2024-04-04,P322,Product-P322,Home,299.57,39.97,259.6,Debit Card,Bangalore,2023-01-23,19,Other,Low
O228093,1118,2024-04-04,P657,Product-P657,Clothing,375.84,6.83,369.01,Net Banking,Delhi,2023-05-16,51,Male,Low
O153035,1031,2024-04-26,P193,Product-P193,Grocery,21.92,4.22,17.7,Cash,Mumbai,2023-05-23,59,Other,Medium
O970127,1161,2024-03-26,P349,Product-P349,Grocery,633.07,149.46,483.61,Debit Card,Mumbai,2023-03-22,49,Other,Medium
O911984,1217,2024-02-23,P700,Product-P700,Grocery,99.44,24.25,75.19,Debit Card,Bangalore,2023-09-22,43,Male,Low
O666456,1130,2024-02-07,P907,Product-P907,Beauty,92.06,0.08,91.98,Debit Card,Delhi,2023-03-12,52,Female,High
O115582,1110,2024-03-05,P917,Product-P917,Grocery,103.69,3.42,100.27,Credit Card,Delhi,2023-06-11,59,Female,High
O378258,1096,2024-04-01,P908,Product-P908,Grocery,14.32,2.53,11.79,Credit Card,Delhi,2023-12-19,24,Other,High
O570050,1083,2024-01-14,P229,Product-P229,Home,886.66,139.94,746.72,Credit Card,Hyderabad,2023-12-16,62,Other,Medium
O744986,1079,2024-04-02,P625,Product-P625,Beauty,36.9,1.21,35.69,Cash,Delhi,2023-04-18,40,Male,Medium
O602248,1148,2024-01-12,P844,Product-P844,Beauty,183.72,16.62,167.1,Credit Card,Mumbai,2023-05-09,56,Male,Medium
O184714,1096,2024-04-12,P536,Product-P536,Electronics,206.31,30.34,175.97,UPI,Mumbai,2023-12-19,24,Other,High
O763829,1126,2024-03-23,P722,Product-P722,Grocery,74.77,1.47,73.3,Net Banking,Chennai,2023-10-26,39,Other,Medium
O734836,1030,2024-03-24,P490,Product-P490,Beauty,18.83,3.0,15.83,UPI,Chennai,2023-10-29,44,Other,Medium
O550961,1013,2024-04-20,P201,Product-P201,Electronics,572.76,146.53,426.23,Cash,Delhi,2023-08-05,53,Female,Low
O536196,1214,2024-04-25,P333,Product-P333,Home,103.82,10.56,93.26,UPI,Hyderabad,2023-11-29,36,Other,Medium
O260053,1290,2024-01-25,P420,Product-P420,Home,172.03,16.13,155.9,Net Banking,Bangalore,2023-01-08,42,Other,Medium
O201255,1270,2024-05-01,P168,Product-P168,Electronics,349.07,87.1,261.97,Credit Card,Hyderabad,2023-06-23,49,Male,Medium
O688967,1061,2024-04-05,P931,Product-P931,Grocery,103.85,17.33,86.52,Cash,Chennai,2023-04-09,57,Other,Medium
O401601,1084,2024-03-25,P786,Product-P786,Electronics,268.83,33.13,235.7,UPI,Mumbai,2023-11-28,35,Female,Low
O788637,1225,2024-03-20,P460,Product-P460,Electronics,138.05,23.93,114.12,Debit Card,Delhi,2023-10-29,41,Female,Medium
O220465,1013,2024-05-03,P329,Product-P329,Electronics,334.58,35.14,299.44,Cash,Bangalore,2023-08-05,53,Female,Low
O743378,1200,2024-03-12,P687,Product-P687,Grocery,148.48,35.96,112.52,Cash,Chennai,2023-09-01,29,Female,Low
O456331,1169,2024-01-07,P723,Product-P723,Clothing,186.66,1.62,185.04,Net Banking,Bangalore,2023-11-17,45,Other,Low
O172965,1090,2024-03-30,P106,Product-P106,Grocery,17.61,4.6,13.01,Cash,Hyderabad,2023-05-06,58,Male,Medium
O494468,1133,2024-02-06,P858,Product-P858,Electronics,103.09,2.84,100.25,Cash,Delhi,2023-02-16,31,Other,High
O914571,1020,2024-04-17,P564,Product-P564,Clothing,646.32,30.52,615.8,Net Banking,Bangalore,2023-11-05,61,Other,High
O806707,1114,2024-01-22,P153,Product-P153,Grocery,316.2,14.93,301.27,Cash,Mumbai,2023-07-22,24,Female,High
O563516,1090,2024-01-21,P378,Product-P378,Home,143.71,28.54,115.17,UPI,Chennai,2023-05-06,58,Male,Medium
O550797,1153,2024-04-16,P379,Product-P379,Grocery,15.46,3.5,11.96,Credit Card,Bangalore,2023-12-16,40,Female,High
O331230,1064,2024-01-29,P390,Product-P390,Beauty,663.59,96.88,566.71,Net Banking,Mumbai,2023-01-24,23,Other,High
O904624,1090,2024-04-11,P713,Product-P713,Electronics,475.29,1.1,474.19,Net Banking,Delhi,2023-05-06,58,Male,Medium
O621546,1062,2024-02-05,P882,Product-P882,Clothing,282.22,24.51,257.71,Credit Card,Mumbai,2023-12-27,21,Female,Medium
O685864,1125,2024-04-20,P279,Product-P279,Grocery,438.65,50.03,388.62,Debit Card,Chennai,2023-08-08,57,Female,Low
O119651,1091,2024-03-31,P173,Product-P173,Home,210.43,54.4,156.03,Credit Card,Hyderabad,2023-03-25,46,Male,High
O843963,1245,2024-04-27,P179,Product-P179,Clothing,26.21,4.53,21.68,Cash,Hyderabad,2023-04-20,49,Male,Low
O940247,1141,2024-04-16,P396,Product-P396,Electronics,581.41,70.65,510.76,Net Banking,Delhi,2023-11-02,26,Female,Low
O556839,1071,2024-04-27,P951,Product-P951,Clothing,194.14,5.13,189.01,Credit Card,Delhi,2023-07-14,51,Female,Low
O332335,1034,2024-04-12,P636,Product-P636,Electronics,48.6,5.77,42.83,Net Banking,Bangalore,2023-12-24,32,Female,Medium
O634723,1252,2024-03-26,P897,Product-P897,Grocery,187.59,4.3,183.29,Credit Card,Chennai,2023-08-31,57,Female,Medium
O207798,1025,2024-02-19,P894,Product-P894,Clothing,204.34,21.52,182.82,Debit Card,Delhi,2023-12-26,50,Male,High
O285751,1103,2024-02-07,P362,Product-P362,Grocery,101.99,5.31,96.68,Debit Card,Mumbai,2023-01-17,28,Male,High
O774225,1224,2024-05-06,P575,Product-P575,Beauty,52.67,12.01,40.66,UPI,Chennai,2023-01-11,55,Female,High
O563688,1154,2024-03-23,P984,Product-P984,Clothing,196.58,8.9,187.68,Credit Card,Hyderabad,2023-10-02,56,Female,High
O177794,1280,2024-03-18,P915,Product-P915,Clothing,473.97,84.09,389.88,Net Banking,Chennai,2023-05-23,41,Male,Low
O180458,1058,2024-03-20,P572,Product-P572,Home,0.51,0.01,0.5,Net Banking,Bangalore,2023-11-13,31,Other,Medium
O681242,1107,2024-01-24,P729,Product-P729,Beauty,18.09,2.75,15.34,UPI,Chennai,2023-02-03,52,Male,Low
O598733,1269,2024-01-11,P560,Product-P560,Beauty,142.63,27.89,114.74,Net Banking,Chennai,2023-07-26,54,Other,Medium
O629057,1286,2024-05-08,P254,Product-P254,Electronics,220.65,29.82,190.83,Net Banking,Mumbai,2023-02-20,37,Female,High
O648141,1176,2024-02-14,P140,Product-P140,Grocery,67.25,14.28,52.97,UPI,Chennai,2023-07-11,45,Other,Low
O912085,1293,2024-02-10,P472,Product-P472,Clothing,33.28,9.16,24.12,UPI,Hyderabad,2023-03-27,63,Other,Medium
O445705,1121,2024-03-27,P795,Product-P795,Beauty,120.58,1.89,118.69,Net Banking,Mumbai,2023-10-15,41,Male,Low
O449555,1255,2024-01-25,P671,Product-P671,Home,60.19,5.13,55.06,Cash,Delhi,2023-02-18,45,Other,Low
O235215,1037,2024-01-21,P696,Product-P696,Grocery,130.15,35.79,94.36,Net Banking,Hyderabad,2023-05-23,20,Male,Low
O802667,1284,2024-01-22,P417,Product-P417,Beauty,100.01,11.3,88.71,Net Banking,Delhi,2023-08-15,55,Male,High
O423869,1177,2024-05-14,P195,Product-P195,Home,10.86,1.66,9.2,Credit Card,Bangalore,2023-03-24,42,Male,Low
O337547,1045,2024-02-16,P319,Product-P319,Clothing,3.03,0.86,2.17,UPI,Delhi,2023-07-03,42,Male,Low
O908320,1086,2024-02-05,P258,Product-P258,Electronics,14.0,1.24,12.76,Credit Card,Chennai,2023-11-08,41,Male,High
O726258,1085,2024-05-14,P138,Product-P138,Clothing,395.89,104.09,291.8,Cash,Delhi,2023-02-06,64,Male,High
O856215,1150,2024-04-06,P257,Product-P257,Grocery,216.11,11.72,204.39,Cash,Delhi,2023-01-06,21,Female,Medium
O740255,1026,2024-04-22,P144,Product-P144,Home,56.2,6.14,50.06,Debit Card,Hyderabad,2023-10-07,29,Other,Medium
O947903,1258,2024-03-13,P870,Product-P870,Home,32.42,2.28,30.14,Debit Card,Bangalore,2023-08-09,48,Female,High
O584106,1198,2024-04-30,P955,Product-P955,Grocery,123.48,13.63,109.85,Cash,Hyderabad,2023-03-07,41,Female,Medium
O956572,1071,2024-03-13,P896,Product-P896,Home,16.69,2.52,14.17,UPI,Delhi,2023-07-14,51,Female,Low
O772324,1035,2024-02-21,P920,Product-P920,Beauty,602.34,25.01,577.33,Net Banking,Mumbai,2023-08-05,64,Male,Low
O992512,1055,2024-05-03,P995,Product-P995,Clothing,25.14,4.18,20.96,Credit Card,Chennai,2023-10-10,25,Female,Low
O638289,1213,2024-02-01,P391,Product-P391,Electronics,13.89,3.18,10.71,Net Banking,Hyderabad,2023-12-10,18,Other,Low
O466566,1138,2024-02-07,P950,Product-P950,Home,303.15,8.34,294.81,Debit Card,Hyderabad,2023-03-23,31,Other,Medium
O504924,1199,2024-01-07,P524,Product-P524,Electronics,478.61,56.92,421.69,Net Banking,Delhi,2023-12-04,58,Other,Low
O929822,1083,2024-01-21,P483,Product-P483,Grocery,454.68,3.84,450.84,Credit Card,Bangalore,2023-12-16,62,Other,Medium
O895702,1085,2024-02-07,P240,Product-P240,Electronics,1.29,0.11,1.18,UPI,Delhi,2023-02-06,64,Male,High
